,dep,jour,P,cl_age90,pop
6313,03,2020-08-24,9,0,331315.0
6324,03,2020-08-25,9,0,331315.0
6335,03,2020-08-26,16,0,331315.0
6346,03,2020-08-27,5,0,331315.0
6357,03,2020-08-28,9,0,331315.0
6368,03,2020-08-29,10,0,331315.0
6379,03,2020-08-30,0,0,331315.0
6390,03,2020-08-31,10,0,331315.0
6401,03,2020-09-01,13,0,331315.0
6412,03,2020-09-02,14,0,331315.0
6423,03,2020-09-03,20,0,331315.0
6434,03,2020-09-04,9,0,331315.0
6445,03,2020-09-05,9,0,331315.0
6456,03,2020-09-06,0,0,331315.0
6467,03,2020-09-07,21,0,331315.0
6478,03,2020-09-08,21,0,331315.0
6489,03,2020-09-09,12,0,331315.0
6500,03,2020-09-10,23,0,331315.0
6511,03,2020-09-11,11,0,331315.0
6522,03,2020-09-12,12,0,331315.0
6533,03,2020-09-13,2,0,331315.0
6544,03,2020-09-14,23,0,331315.0
6555,03,2020-09-15,11,0,331315.0
6566,03,2020-09-16,26,0,331315.0
6577,03,2020-09-17,30,0,331315.0
6588,03,2020-09-18,25,0,331315.0
6599,03,2020-09-19,12,0,331315.0
6610,03,2020-09-20,3,0,331315.0
6621,03,2020-09-21,22,0,331315.0
6632,03,2020-09-22,17,0,331315.0
6643,03,2020-09-23,10,0,331315.0
6654,03,2020-09-24,16,0,331315.0
6665,03,2020-09-25,27,0,331315.0
6676,03,2020-09-26,4,0,331315.0
6687,03,2020-09-27,1,0,331315.0
6698,03,2020-09-28,17,0,331315.0
6709,03,2020-09-29,14,0,331315.0
6720,03,2020-09-30,15,0,331315.0
6731,03,2020-10-01,19,0,331315.0
6742,03,2020-10-02,48,0,331315.0
6753,03,2020-10-03,11,0,331315.0
6764,03,2020-10-04,0,0,331315.0
6775,03,2020-10-05,33,0,331315.0
6786,03,2020-10-06,31,0,331315.0
6797,03,2020-10-07,42,0,331315.0
6808,03,2020-10-08,51,0,331315.0
6819,03,2020-10-09,77,0,331315.0
6830,03,2020-10-10,39,0,331315.0
6841,03,2020-10-11,2,0,331315.0
6852,03,2020-10-12,75,0,331315.0
6863,03,2020-10-13,98,0,331315.0
6874,03,2020-10-14,56,0,331315.0
6885,03,2020-10-15,103,0,331315.0
6896,03,2020-10-16,109,0,331315.0
6907,03,2020-10-17,68,0,331315.0
6918,03,2020-10-18,14,0,331315.0
6929,03,2020-10-19,207,0,331315.0
6940,03,2020-10-20,224,0,331315.0
6951,03,2020-10-21,247,0,331315.0
6962,03,2020-10-22,258,0,331315.0
6973,03,2020-10-23,286,0,331315.0
6984,03,2020-10-24,126,0,331315.0
6995,03,2020-10-25,14,0,331315.0
7006,03,2020-10-26,438,0,331315.0
7017,03,2020-10-27,312,0,331315.0
7028,03,2020-10-28,314,0,331315.0
7039,03,2020-10-29,344,0,331315.0
7050,03,2020-10-30,362,0,331315.0
7061,03,2020-10-31,170,0,331315.0
