,dep,jour,incid_hosp,incid_rea,incid_dc
506,02,2020-11-01,11,1,0
507,02,2020-11-02,22,6,0
508,02,2020-11-03,16,4,2
509,02,2020-11-04,35,2,5
510,02,2020-11-05,24,3,5
511,02,2020-11-06,27,2,3
512,02,2020-11-07,13,0,1
513,02,2020-11-08,14,4,1
514,02,2020-11-09,24,3,2
515,02,2020-11-10,18,3,4
516,02,2020-11-11,19,1,1
517,02,2020-11-12,21,3,1
518,02,2020-11-13,33,7,5
519,02,2020-11-14,5,0,0
520,02,2020-11-15,2,1,0
521,02,2020-11-16,20,3,2
522,02,2020-11-17,31,3,3
523,02,2020-11-18,12,0,1
524,02,2020-11-19,19,2,7
525,02,2020-11-20,16,0,3
526,02,2020-11-21,2,0,0
527,02,2020-11-22,5,2,4
528,02,2020-11-23,13,1,6
529,02,2020-11-24,28,0,7
530,02,2020-11-25,13,1,1
531,02,2020-11-26,11,0,3
532,02,2020-11-27,13,5,2
533,02,2020-11-28,9,1,1
534,02,2020-11-29,7,0,1
535,02,2020-11-30,20,0,3
536,02,2020-12-01,16,6,3
537,02,2020-12-02,14,1,5
538,02,2020-12-03,15,1,1
539,02,2020-12-04,25,1,4
540,02,2020-12-05,7,0,0
541,02,2020-12-06,3,0,0
542,02,2020-12-07,18,3,4
543,02,2020-12-08,19,4,5
544,02,2020-12-09,13,2,4
545,02,2020-12-10,10,2,6
546,02,2020-12-11,31,2,8
547,02,2020-12-12,26,2,2
548,02,2020-12-13,6,0,0
549,02,2020-12-14,22,4,8
550,02,2020-12-15,26,3,1
551,02,2020-12-16,34,1,3
552,02,2020-12-17,15,2,4
553,02,2020-12-18,13,4,1
554,02,2020-12-19,7,0,2
555,02,2020-12-20,9,0,0
556,02,2020-12-21,18,2,9
557,02,2020-12-22,62,3,7
558,03,2020-03-19,2,0,0
559,03,2020-03-20,4,0,0
560,03,2020-03-21,4,0,0
561,03,2020-03-22,1,0,0
562,03,2020-03-23,11,0,1
563,03,2020-03-24,1,0,0
564,03,2020-03-25,6,0,0
565,03,2020-03-26,10,1,1
566,03,2020-03-27,6,1,2
567,03,2020-03-28,7,0,0
568,03,2020-03-29,3,3,0
569,03,2020-03-30,14,4,0
570,03,2020-03-31,5,1,1
571,03,2020-04-01,9,1,0
572,03,2020-04-02,5,3,1
573,03,2020-04-03,5,0,1
574,03,2020-04-04,6,0,0
575,03,2020-04-05,5,3,1
576,03,2020-04-06,6,1,0
577,03,2020-04-07,5,0,0
578,03,2020-04-08,9,2,2
579,03,2020-04-09,3,1,0
580,03,2020-04-10,5,2,0
581,03,2020-04-11,8,1,2
582,03,2020-04-12,4,0,1
583,03,2020-04-13,3,0,0
584,03,2020-04-14,6,2,3
585,03,2020-04-15,2,0,1
586,03,2020-04-16,4,0,2
587,03,2020-04-17,2,0,0
588,03,2020-04-18,2,0,3
589,03,2020-04-19,0,1,0
590,03,2020-04-20,5,0,0
591,03,2020-04-21,5,0,1
592,03,2020-04-22,5,1,1
593,03,2020-04-23,3,0,0
594,03,2020-04-24,2,0,1
595,03,2020-04-25,5,0,0
596,03,2020-04-26,3,0,0
597,03,2020-04-27,0,0,0
598,03,2020-04-28,1,0,1
599,03,2020-04-29,0,2,1
600,03,2020-04-30,2,0,0
601,03,2020-05-01,2,0,1
602,03,2020-05-02,2,0,0
603,03,2020-05-03,0,0,0
604,03,2020-05-04,1,0,0
605,03,2020-05-05,2,0,2
606,03,2020-05-06,2,1,0
607,03,2020-05-07,2,0,0
608,03,2020-05-08,3,0,1
609,03,2020-05-09,0,1,0
610,03,2020-05-10,1,0,0
611,03,2020-05-11,0,1,0
612,03,2020-05-12,2,0,1
613,03,2020-05-13,0,0,1
614,03,2020-05-14,1,0,0
615,03,2020-05-15,0,0,0
616,03,2020-05-16,0,0,0
617,03,2020-05-17,0,0,0
618,03,2020-05-18,0,0,0
619,03,2020-05-19,5,0,2
620,03,2020-05-20,4,0,3
621,03,2020-05-21,0,0,0
622,03,2020-05-22,0,0,0
623,03,2020-05-23,5,0,0
624,03,2020-05-24,3,0,0
625,03,2020-05-25,3,0,0
626,03,2020-05-26,1,0,0
627,03,2020-05-27,3,0,0
628,03,2020-05-28,0,0,1
629,03,2020-05-29,0,0,0
630,03,2020-05-30,0,0,0
631,03,2020-05-31,2,0,0
632,03,2020-06-01,1,0,0
633,03,2020-06-02,4,0,1
634,03,2020-06-03,0,0,0
635,03,2020-06-04,0,0,0
636,03,2020-06-05,4,0,0
637,03,2020-06-06,0,0,0
638,03,2020-06-07,0,0,0
639,03,2020-06-08,4,1,0
640,03,2020-06-09,0,0,0
641,03,2020-06-10,1,0,0
642,03,2020-06-11,3,0,0
643,03,2020-06-12,2,0,0
644,03,2020-06-13,0,0,0
645,03,2020-06-14,0,0,0
646,03,2020-06-15,0,0,0
647,03,2020-06-16,1,0,0
648,03,2020-06-17,1,1,0
649,03,2020-06-18,0,0,0
650,03,2020-06-19,0,0,0
651,03,2020-06-20,0,0,0
652,03,2020-06-21,0,0,0
653,03,2020-06-22,1,0,1
654,03,2020-06-23,0,0,0
655,03,2020-06-24,0,0,0
656,03,2020-06-25,0,0,0
657,03,2020-06-26,1,0,0
658,03,2020-06-27,0,0,0
659,03,2020-06-28,0,0,1
660,03,2020-06-29,0,0,0
661,03,2020-06-30,0,0,0
662,03,2020-07-01,0,0,0
663,03,2020-07-02,0,0,0
664,03,2020-07-03,1,0,0
665,03,2020-07-04,0,0,0
666,03,2020-07-05,0,0,0
667,03,2020-07-06,0,0,0
668,03,2020-07-07,0,0,0
669,03,2020-07-08,0,0,0
670,03,2020-07-09,0,0,0
671,03,2020-07-10,1,0,0
672,03,2020-07-11,0,0,0
673,03,2020-07-12,0,0,0
674,03,2020-07-13,0,0,0
675,03,2020-07-14,0,0,0
676,03,2020-07-15,0,0,0
677,03,2020-07-16,0,0,0
678,03,2020-07-17,0,0,0
679,03,2020-07-18,0,0,0
680,03,2020-07-19,0,0,0
681,03,2020-07-20,0,0,0
682,03,2020-07-21,0,0,0
683,03,2020-07-22,0,0,0
684,03,2020-07-23,1,0,0
685,03,2020-07-24,0,0,0
686,03,2020-07-25,1,0,0
687,03,2020-07-26,0,0,0
688,03,2020-07-27,0,0,0
689,03,2020-07-28,0,0,0
690,03,2020-07-29,0,0,0
691,03,2020-07-30,0,0,0
692,03,2020-07-31,0,0,0
693,03,2020-08-01,0,0,0
694,03,2020-08-02,0,0,0
695,03,2020-08-03,0,0,0
696,03,2020-08-04,0,0,0
697,03,2020-08-05,0,0,0
698,03,2020-08-06,0,0,0
699,03,2020-08-07,0,0,0
700,03,2020-08-08,0,0,0
701,03,2020-08-09,0,0,0
702,03,2020-08-10,1,0,0
703,03,2020-08-11,2,0,0
704,03,2020-08-12,0,0,0
705,03,2020-08-13,0,0,0
706,03,2020-08-14,0,0,0
707,03,2020-08-15,0,0,0
708,03,2020-08-16,0,0,0
709,03,2020-08-17,0,0,0
710,03,2020-08-18,0,0,0
711,03,2020-08-19,0,0,0
712,03,2020-08-20,2,0,0
713,03,2020-08-21,0,0,0
714,03,2020-08-22,0,0,0
715,03,2020-08-23,0,0,0
716,03,2020-08-24,0,0,0
717,03,2020-08-25,1,0,0
718,03,2020-08-26,2,0,0
719,03,2020-08-27,0,0,0
720,03,2020-08-28,1,0,0
721,03,2020-08-29,0,0,0
722,03,2020-08-30,0,0,0
723,03,2020-08-31,0,0,0
724,03,2020-09-01,0,0,0
725,03,2020-09-02,1,0,0
726,03,2020-09-03,0,0,0
727,03,2020-09-04,2,0,0
728,03,2020-09-05,0,0,0
729,03,2020-09-06,0,0,0
730,03,2020-09-07,0,0,0
731,03,2020-09-08,0,0,0
732,03,2020-09-09,3,0,0
733,03,2020-09-10,2,1,0
734,03,2020-09-11,2,0,0
735,03,2020-09-12,0,0,0
736,03,2020-09-13,2,1,0
737,03,2020-09-14,1,0,0
738,03,2020-09-15,1,0,0
739,03,2020-09-16,1,0,0
740,03,2020-09-17,2,0,0
741,03,2020-09-18,2,0,1
742,03,2020-09-19,1,1,0
743,03,2020-09-20,0,0,0
744,03,2020-09-21,10,0,0
745,03,2020-09-22,2,0,1
746,03,2020-09-23,2,0,0
747,03,2020-09-24,2,1,0
748,03,2020-09-25,1,0,0
749,03,2020-09-26,3,0,0
750,03,2020-09-27,2,0,0
751,03,2020-09-28,0,0,0
752,03,2020-09-29,3,1,1
753,03,2020-09-30,3,1,1
754,03,2020-10-01,3,0,0
755,03,2020-10-02,1,1,0
756,03,2020-10-03,0,0,1
757,03,2020-10-04,2,0,0
758,03,2020-10-05,5,0,0
759,03,2020-10-06,1,0,0
760,03,2020-10-07,4,0,0
761,03,2020-10-08,3,0,0
762,03,2020-10-09,2,0,0
763,03,2020-10-10,6,1,1
764,03,2020-10-11,7,0,0
765,03,2020-10-12,3,0,1
766,03,2020-10-13,12,2,0
767,03,2020-10-14,8,1,0
768,03,2020-10-15,15,2,0
769,03,2020-10-16,12,3,1
770,03,2020-10-17,9,0,2
771,03,2020-10-18,7,0,2
772,03,2020-10-19,9,0,1
773,03,2020-10-20,18,0,2
774,03,2020-10-21,6,0,1
775,03,2020-10-22,9,0,0
776,03,2020-10-23,21,0,2
777,03,2020-10-24,26,0,0
778,03,2020-10-25,8,1,0
779,03,2020-10-26,11,2,3
780,03,2020-10-27,21,4,4
781,03,2020-10-28,13,2,1
782,03,2020-10-29,31,4,0
783,03,2020-10-30,26,3,3
784,03,2020-10-31,19,1,0
785,03,2020-11-01,22,0,2
786,03,2020-11-02,24,1,8
787,03,2020-11-03,31,8,4
788,03,2020-11-04,30,3,7
789,03,2020-11-05,24,2,4
790,03,2020-11-06,25,1,8
791,03,2020-11-07,22,4,4
792,03,2020-11-08,10,3,2
793,03,2020-11-09,28,6,3
794,03,2020-11-10,18,0,8
795,03,2020-11-11,28,1,4
796,03,2020-11-12,24,2,2
797,03,2020-11-13,22,3,7
798,03,2020-11-14,16,5,7
799,03,2020-11-15,17,1,3
